ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR,CPC,CPA,conversion_rate
708746,2017-08-17,2017-08-17,916,103916,30-34,M,15,17,17,7350.0,1,1.429999948,2.0,1.0,0.013605442176870748,1.429999948,1.429999948,100.0
708749,2017-08-17,2017-08-17,916,103917,30-34,M,16,19,21,17861.0,2,1.820000023,2.0,0.0,0.011197581322434353,0.9100000115,0.0,0.0
708771,2017-08-17,2017-08-17,916,103920,30-34,M,20,25,22,693.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
708815,2017-08-30,2017-08-30,916,103928,30-34,M,28,32,32,4259.0,1,1.25,1.0,0.0,0.023479690068091103,1.25,0.0,0.0
708818,2017-08-17,2017-08-17,916,103928,30-34,M,28,33,32,4133.0,1,1.289999962,1.0,1.0,0.024195499637067505,1.289999962,1.289999962,100.0
708820,2017-08-17,2017-08-17,916,103929,30-34,M,29,30,30,1915.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
708889,2017-08-17,2017-08-17,916,103940,30-34,M,15,16,17,15615.0,3,4.769999981,1.0,0.0,0.01921229586935639,1.5899999936666667,0.0,0.0
708895,2017-08-17,2017-08-17,916,103941,30-34,M,16,20,18,10951.0,1,1.269999981,1.0,1.0,0.009131586156515388,1.269999981,1.269999981,100.0
708953,2017-08-17,2017-08-17,916,103951,30-34,M,27,31,31,2355.0,1,1.5,1.0,0.0,0.042462845010615716,1.5,0.0,0.0
708958,2017-08-30,2017-08-30,916,103952,30-34,M,28,32,31,9502.0,3,3.159999967,1.0,0.0,0.03157230056830141,1.0533333223333334,0.0,0.0
708979,2017-08-30,2017-08-30,916,103955,30-34,M,31,37,34,1224.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709023,2017-08-29,2017-08-29,916,103962,30-34,M,7,8,8,735.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709038,2017-08-29,2017-08-29,916,103965,30-34,M,16,20,22,5117.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709040,2017-08-29,2017-08-29,916,103965,30-34,M,16,19,21,5120.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
