ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR,CPC,CPA,conversion_rate
708749,2017-08-17,2017-08-17,916,103917,30-34,M,16,19,21,17861.0,2,1.820000023,2.0,0.0,0.0111975813224343,0.9100000115,0.0,0.0
708771,2017-08-17,2017-08-17,916,103920,30-34,M,20,25,22,693.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
708815,2017-08-30,2017-08-30,916,103928,30-34,M,28,32,32,4259.0,1,1.25,1.0,0.0,0.0234796900680911,1.25,0.0,0.0
708820,2017-08-17,2017-08-17,916,103929,30-34,M,29,30,30,1915.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
708889,2017-08-17,2017-08-17,916,103940,30-34,M,15,16,17,15615.0,3,4.769999981,1.0,0.0,0.0192122958693563,1.5899999936666669,0.0,0.0
708953,2017-08-17,2017-08-17,916,103951,30-34,M,27,31,31,2355.0,1,1.5,1.0,0.0,0.0424628450106157,1.5,0.0,0.0
708958,2017-08-30,2017-08-30,916,103952,30-34,M,28,32,31,9502.0,3,3.159999967,1.0,0.0,0.0315723005683014,1.0533333223333334,0.0,0.0
708979,2017-08-30,2017-08-30,916,103955,30-34,M,31,37,34,1224.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709023,2017-08-29,2017-08-29,916,103962,30-34,M,7,8,8,735.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709038,2017-08-29,2017-08-29,916,103965,30-34,M,16,20,22,5117.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709040,2017-08-29,2017-08-29,916,103965,30-34,M,16,19,21,5120.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709105,2017-08-30,2017-08-30,916,103976,30-34,M,28,30,32,1241.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
709115,2017-08-30,2017-08-30,916,103978,30-34,M,30,34,31,2305.0,1,0.569999993,1.0,0.0,0.0433839479392624,0.569999993,0.0,0.0
709124,2017-08-30,2017-08-30,916,103979,30-34,M,31,34,33,1024.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
709179,2017-08-30,2017-08-30,916,103988,35-39,M,15,16,17,4627.0,1,1.690000057,1.0,0.0,0.0216122757726388,1.690000057,0.0,0.0
709320,2017-08-17,2017-08-17,916,104012,35-39,M,15,21,20,1422.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
709323,2017-08-17,2017-08-17,916,104012,35-39,M,15,17,19,7132.0,2,2.609999895,1.0,0.0,0.0280426247896803,1.3049999475,0.0,0.0
709326,2017-08-18,2017-08-18,916,104013,35-39,M,16,22,22,12190.0,2,3.049999952,1.0,0.0,0.0164068908941755,1.524999976,0.0,0.0
709328,2017-08-18,2017-08-18,916,104013,35-39,M,16,19,18,3332.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
709455,2017-08-18,2017-08-18,916,104034,35-39,M,7,12,10,559.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709614,2017-08-19,2017-08-19,916,104061,40-44,M,16,19,20,19113.0,4,5.5200001,1.0,0.0,0.0209281640768063,1.380000025,0.0,0.0
709761,2017-08-18,2017-08-18,916,104085,40-44,M,16,19,20,2861.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709899,2017-08-18,2017-08-18,916,104108,40-44,M,15,18,20,1398.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
710045,2017-08-17,2017-08-17,916,104133,45-49,M,16,22,17,47224.0,12,15.82000017,1.0,0.0,0.0254108080636964,1.3183333475,0.0,0.0
710088,2017-08-17,2017-08-17,916,104140,45-49,M,24,26,27,2283.0,1,1.470000029,1.0,0.0,0.043802014892685,1.470000029,0.0,0.0
710477,2017-08-17,2017-08-17,916,104205,30-34,F,16,19,19,2654.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
710617,2017-08-18,2017-08-18,916,104228,30-34,F,15,19,16,5014.0,1,1.190000057,1.0,0.0,0.0199441563621858,1.190000057,0.0,0.0
710623,2017-08-18,2017-08-18,916,104229,30-34,F,16,19,20,38726.0,7,9.220000267,1.0,0.0,0.0180757114083561,1.3171428952857145,0.0,0.0
710628,2017-08-17,2017-08-17,916,104230,30-34,F,18,24,22,1473.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
710682,2017-08-29,2017-08-29,916,104239,30-34,F,27,33,32,1186.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
710763,2017-08-29,2017-08-29,916,104252,30-34,F,15,19,17,5369.0,1,1.50999999,1.0,0.0,0.0186254423542559,1.50999999,0.0,0.0
710867,2017-08-26,2017-08-26,916,104270,30-34,F,63,64,68,1185.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
